Brand,Model,Size,Type,Price,Warranty,TreadLife,SpeedRating,LoadIndex,Season
Michelin,Defender T+H,225/65R17,All-Season,165,80000,9,H,103,All
Goodyear,Assurance WeatherReady,225/65R17,All-Weather,155,60000,8,H,102,All
Bridgestone,Turanza QuietTrack,225/65R17,Touring,175,80000,9,H,103,All
Continental,PureContact LS,225/65R17,Grand Touring,168,70000,9,H,102,All
Pirelli,Cinturato P7,225/65R17,Performance,185,65000,8,V,103,Summer
Yokohama,Avid Ascend GT,225/65R17,All-Season,145,65000,8,H,102,All
Cooper,CS5 Grand Touring,225/65R17,Touring,135,70000,8,H,102,All
Hankook,Kinergy PT,225/65R17,All-Season,125,70000,7,H,102,All
Firestone,Destination LE3,265/70R17,SUV,180,70000,8,T,115,All
BFGoodrich,All-Terrain T/A KO2,265/70R17,Off-Road,245,50000,8,R,115,All
Falken,Wildpeak AT3W,265/70R17,All-Terrain,195,55000,8,T,115,All
General,Grabber APT,265/70R17,All-Purpose,165,60000,7,T,115,All
Toyo,Open Country A/T III,265/70R17,All-Terrain,210,65000,8,T,115,All
Nitto,Terra Grappler G2,265/70R17,All-Terrain,225,50000,8,T,115,All
Dunlop,Grandtrek AT20,265/70R17,All-Season,155,60000,7,S,115,All
